,episode_length,ep_reward,episodes,total_step,average_return
0,20,0.0,0,20,0.0
1,20,0.0,100,2020,-0.03
2,20,0.0,200,4020,-0.04
3,20,0.0,300,6020,-0.02
4,20,0.0,400,8020,-0.06
5,20,0.0,500,10020,-0.02
6,20,0.0,600,12020,-0.04
7,20,0.0,700,14020,-0.05
8,20,0.0,800,16020,-0.03
9,20,0.0,900,18020,-0.02
10,20,0.0,1000,20020,-0.05
11,20,0.0,1100,22020,-0.09
12,20,0.0,1200,24020,0.0
13,20,0.0,1300,26020,-0.03
14,20,0.0,1400,28020,-0.03
15,20,0.0,1500,30020,-0.04
16,20,0.0,1600,32020,-0.06
17,20,0.0,1700,34020,-0.09
18,20,0.0,1800,36020,-0.05
19,20,0.0,1900,38020,-0.02
20,20,0.0,2000,40020,-0.05
21,20,0.0,2100,42020,-0.07
22,20,0.0,2200,44020,0.0
23,20,0.0,2300,46020,-0.01
24,20,0.0,2400,48020,-0.03
25,20,0.0,2500,50020,-0.01
26,20,0.0,2600,52020,-0.01
27,20,0.0,2700,54020,-0.06
28,20,0.0,2800,56020,-0.03
29,20,0.0,2900,58020,-0.03
30,20,0.0,3000,60020,-0.03
31,20,0.0,3100,62020,-0.08
32,20,0.0,3200,64020,-0.05
33,20,0.0,3300,66020,-0.01
34,20,0.0,3400,68020,-0.02
35,20,0.0,3500,70020,-0.04
36,20,0.0,3600,72020,-0.05
37,20,0.0,3700,74020,-0.05
38,20,0.0,3800,76020,-0.05
39,20,0.0,3900,78020,-0.03
40,20,0.0,4000,80020,-0.04
41,20,0.0,4100,82020,-0.09
42,20,0.0,4200,84020,-0.04
43,20,0.0,4300,86020,-0.02
44,20,0.0,4400,88020,-0.05
45,20,0.0,4500,90020,-0.06
46,20,0.0,4600,92020,-0.06
47,20,0.0,4700,94020,-0.03
48,20,0.0,4800,96020,-0.02
49,20,0.0,4900,98020,-0.03
50,20,0.0,5000,100020,-0.02
