,episode_length,ep_reward,episodes,total_step,average_return
0,20,0.0,0,20,0.0
1,20,0.0,100,2020,-0.53
2,20,-1.0,200,4020,-0.51
3,20,0.0,300,6020,-0.15
4,20,0.0,400,8020,0.67
5,20,0.0,500,10020,0.71
6,20,0.0,600,12020,0.79
7,20,0.0,700,14020,0.66
8,20,0.0,800,16020,0.73
9,20,2.0,900,18020,0.91
10,20,2.0,1000,20020,0.78
11,20,0.0,1100,22020,0.82
12,20,2.0,1200,24020,0.82
13,20,1.0,1300,26020,0.96
14,20,1.0,1400,28020,0.81
15,20,2.0,1500,30020,0.89
16,20,1.0,1600,32020,1.08
17,20,1.0,1700,34020,1.05
18,20,1.0,1800,36020,1.17
19,20,1.0,1900,38020,1.21
20,20,2.0,2000,40020,1.11
21,20,1.0,2100,42020,1.04
22,20,1.0,2200,44020,1.16
23,20,1.0,2300,46020,1.16
24,20,1.0,2400,48020,1.09
25,20,2.0,2500,50020,0.97
26,20,0.0,2600,52020,0.96
27,20,2.0,2700,54020,1.18
28,20,1.0,2800,56020,1.31
29,20,0.0,2900,58020,1.22
30,20,2.0,3000,60020,1.32
31,20,2.0,3100,62020,1.35
32,20,1.0,3200,64020,1.35
33,20,1.0,3300,66020,1.3
34,20,1.0,3400,68020,1.22
35,20,2.0,3500,70020,1.34
36,20,1.0,3600,72020,1.22
37,20,2.0,3700,74020,1.41
38,20,1.0,3800,76020,1.51
39,20,2.0,3900,78020,1.46
40,20,2.0,4000,80020,1.45
41,20,2.0,4100,82020,1.38
42,20,2.0,4200,84020,1.41
43,20,1.0,4300,86020,1.31
44,20,0.0,4400,88020,1.35
45,20,2.0,4500,90020,1.45
46,20,2.0,4600,92020,1.41
47,20,2.0,4700,94020,1.47
48,20,2.0,4800,96020,1.57
49,20,2.0,4900,98020,1.47
50,20,2.0,5000,100020,1.62
